ID_Barang,Nama_Spesifikasi,Kategori,Jumlah,Satuan,Kondisi,Lokasi,Terakhir_Update,Catatan
COMP-126,Transistor TIP 42 C,Semikonduktor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-127,Transistor D882,Semikonduktor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-128,Transistor BD 139,Semikonduktor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-129,IC 7812CD,Semikonduktor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-130,Dinamo DC,Mekanik/Kinetik,7,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-131,Modul Charger 5V,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-132,Modul Charger Out USB-C,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-133,LED light 12V,Lampu & Indikator,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-134,LED HPL 3W,Lampu & Indikator,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-135,Step Up Modul,Modul Elektronik,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-136,Trafo 4 Kaki,Transformator,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-137,Capit Buaya,Konektor/Kabel,1,set,Normal,Laci / Box Bening,2026-07-11,
COMP-138,Binding Post,Konektor/Kabel,1,set,Normal,Laci / Box Bening,2026-07-11,
COMP-139,Potensio Mono 100K,Resistor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-140,Potensio Mono 50K,Resistor,6,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-141,Potensio Mono 250K,Resistor,3,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-142,Potensio Stereo 100K,Resistor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-143,Micro Switch Sedang,Sakelar,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-144,Trafo 4 Kaki,Transformator,2,pcs,Normal,Laci / Box Bening,2026-07-11,
